Name,Size_of_the_bottle,MRP_of_the_bottle,Price_of_the_bottle,1Mg_URL
Lord's Ylo Tablet,1000 tablets,₹1200,₹812,https://www.1mg.com/otc/lord-s-ylo-tablet-otc561524
Sunny Herbals Cocoa Butter Cream,125 gm,₹250,₹212,https://www.1mg.com/otc/sunny-herbals-cocoa-butter-cream-otc326229
SBL Homeocal Tablet,25 gm,₹165,₹143,https://www.1mg.com/otc/sbl-homeocal-tablet-otc326109
SBL Aconitum Napellus Dilution 30 CH,30 ml,₹100,₹96,https://www.1mg.com/otc/sbl-aconitum-napellus-dilution-30-ch-otc345696
SBL Carbo Vegetabilis Dilution 30 CH,30 ml,₹100,₹94,https://www.1mg.com/otc/sbl-carbo-vegetabilis-dilution-30-ch-otc338206
Bakson's Homeopathy Pilgo Tablet,200 tablets,₹500,₹350,https://www.1mg.com/otc/bakson-s-homeopathy-pilgo-tablet-otc386760
Dr. Reckeweg Aconitum Napellus Dilution 30 CH,11 ml,₹145,₹130,https://www.1mg.com/otc/dr.-reckeweg-aconitum-napellus-dilution-30-ch-otc326806
Bakson's Homeopathy Tonsil Aid Tablet,75 tablets,₹215,₹165,https://www.1mg.com/otc/bakson-s-homeopathy-tonsil-aid-tablet-otc402187
New Life Bach Flower Rescue Remedy 30,30 ml,₹125,₹114,https://www.1mg.com/otc/new-life-bach-flower-rescue-remedy-30-otc386623
SBL Carduus Marianus Mother Tincture Q,30 ml,₹150,₹116,https://www.1mg.com/otc/sbl-carduus-marianus-mother-tincture-q-otc338507
ADEL 4 Apo-Rheum Drop,20 ml,₹310,₹220,https://www.1mg.com/otc/adel-4-apo-rheum-drop-otc325870
Dr. Reckeweg V-C 15 Forte Tonic,NA,₹1260,₹1119,https://www.1mg.com/otc/dr.-reckeweg-v-c-15-forte-tonic-otc327329
Dr. Reckeweg R2 Essentia Aurea-Gold Drop,22 ml,₹285,₹239,https://www.1mg.com/otc/dr.-reckeweg-r2-essentia-aurea-gold-drop-otc327508
SBL Phytolacca Berry Mother Tincture Q,30 ml,₹240,₹223,https://www.1mg.com/otc/sbl-phytolacca-berry-mother-tincture-q-otc338433
Dr. Reckeweg Bio-Combination 21 (BC 21) Tablet,20 gm,₹200,₹184,https://www.1mg.com/otc/dr.-reckeweg-bio-combination-21-bc-21-tablet-otc326262
Dr. Reckeweg Ashwagandha Mother Tincture Q,20 ml,₹360,₹267,https://www.1mg.com/otc/dr.-reckeweg-ashwagandha-mother-tincture-q-otc327798
Dr. Reckeweg R1 Inflammation Drop,22 ml,₹285,₹241,https://www.1mg.com/otc/dr.-reckeweg-r1-inflammation-drop-otc327511
Sunny Herbals Lip Balm,10 gm,₹45,₹40.1,https://www.1mg.com/otc/sunny-herbals-lip-balm-otc499060
Sunny Herbals Hair Color Light Brown Sachet,NA,₹50,₹49,https://www.1mg.com/otc/sunny-herbals-hair-color-light-brown-sachet-otc499062
Dr. Reckeweg Lycopodium Dilution 200 CH,11 ml,₹170,₹165,https://www.1mg.com/otc/dr.-reckeweg-lycopodium-dilution-200-ch-otc336001
Sunny Herbals Fruit Cream,100 gm,₹185,₹176,https://www.1mg.com/otc/sunny-herbals-fruit-cream-otc503115
Dr. Reckeweg R8 Jut-U-Sin Cough Syrup,150 ml,₹525,₹470,https://www.1mg.com/otc/dr.-reckeweg-r8-jut-u-sin-cough-syrup-otc326074
SBL Alfalfa Malt Energy Stimulant Delicious Chocolate,450 gm,₹355,₹280,https://www.1mg.com/otc/sbl-alfalfa-malt-energy-stimulant-delicious-chocolate-otc325799
Sunny Herbals Sun Care Cream,100 gm,₹270,₹202,https://www.1mg.com/otc/sunny-herbals-sun-care-cream-otc327076
Dr Willmar Schwabe India Chelidonium Majus Mother Tincture Q,30 ml,₹150,₹124,https://www.1mg.com/otc/dr-willmar-schwabe-india-chelidonium-majus-mother-tincture-q-otc390853
HHP Rheumonil Drop,30 ml,NA,MRP₹120,https://www.1mg.com/otc/hhp-rheumonil-drop-otc862578
SBL Lycopodium Clavatum Dilution 200 CH,30 ml,₹115,₹105,https://www.1mg.com/otc/sbl-lycopodium-clavatum-dilution-200-ch-otc338199
SBL Alfalfa Tonic with Ginseng,180 ml,₹175,₹168,https://www.1mg.com/otc/sbl-alfalfa-tonic-with-ginseng-otc328976
Sunny Herbals Anti Wrinkle Cream,125 gm,₹250,₹231,https://www.1mg.com/otc/sunny-herbals-anti-wrinkle-cream-otc402201
Dr. Reckeweg R29 Vertigo And Syncope Drop,22 ml,₹285,₹219,https://www.1mg.com/otc/dr.-reckeweg-r29-vertigo-and-syncope-drop-otc327467
SBL Arnica Gel,25 gm,₹75,₹72,https://www.1mg.com/otc/sbl-arnica-gel-otc330982
Sunny Herbals Under Eye Cream,50 gm,₹185,₹159,https://www.1mg.com/otc/sunny-herbals-under-eye-cream-otc327072
SBL Hepar Sulphur Dilution 200 CH,30 ml,₹115,₹85,https://www.1mg.com/otc/sbl-hepar-sulphur-dilution-200-ch-otc347863
Dr. Reckeweg R18 Kidney And Bladder Drop,22 ml,₹285,₹225,https://www.1mg.com/otc/dr.-reckeweg-r18-kidney-and-bladder-drop-otc326065
Sunny Herbals Aloevera+Calendula Bathing Bar,75 gm,NA,MRP₹65,https://www.1mg.com/otc/sunny-herbals-aloevera-calendula-bathing-bar-otc499055
SBL Nixocid Tablet,25 gm,₹165,₹160,https://www.1mg.com/otc/sbl-nixocid-tablet-otc326119
SBL Belladonna Dilution 200 CH,30 ml,₹115,₹107,https://www.1mg.com/otc/sbl-belladonna-dilution-200-ch-otc338212
